Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
April 2025,,,,,,,,,,,,,,,,,,
SM post,"1080x1350 (W x H) insta

1080x1080 (W x H ) linkedin

1080x 1920 (W x H ) Story size",BAU Turkiye,"Put the Logo of FES & BAU University 

Study in The Heart of Istanbul

Pursue Amazing Programs such as

Game/Visual Design 
Cartoon & Animation 
Advertising/ PR 
Film & TV/ New Media

Enroll now and Get a 20% Scholarship!

For more details, 
0341-8454888
www.fespak.com",Tayyaba,-,-,Ahmad,4 April 2025,4 April 2025,Completed ,Approved,Study in the heart of Istanbul with diverse programs and attractive scholarship of 20%. Enroll now!,Posted,,,FES Tier 1 Partners,,Countries
Certificate,A4 Size,Work Anniversary,"1. Ashir Ahmed
2. Hina
3. Fiza Rana",Akbar,-,-,Shumaila,4 April 2025,4 April 2025,Completed ,Approved,None,Shared with Ms. Zainab,,,1,Edinburgh Napier University,* UK
Paid Ad,,General Hungary,"FES logo
Study in Hungary
•        Low Tuition Fees 
•        Low Living Cost 
•        Reputable Universities 
•        English-Taught Programs 
•        Globally Recognized Degrees 
•        Medical Courses Available 
•        No IELTS or PTE Required

0341-8454888
www.fespak.com",Raheel,-,-,Shumaila,4 April 2025,8 April,Completed ,Approved,"Dreaming of Europe on a budget? 🇭🇺  Hungary offers quality education with low tuition, affordable living and globally recognized degrees. Apply now!",Posted,,,2,University of Dundee,* Australia
Paid Ad,"1080x1350(W x H) insta

1080x1080 (W x H ) linkedin

1080x 1920 (W x H ) Story size",Germany Post for FES UAE,"FES & 21 yrs logo
Are you thinking of studying in
Germany?

Get one-on-one consultation from our experts and explore Free Education!

Apply Now

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,-,-,Insia,3 April,4 April 2025,Completed ,Approved,Thinking of studying in Germany? Get personalized advice from our experts and discover opportunities for free education now! ,Posted,,,3,Robert Gordon University,* USA
Paid Ad,"1080x1350(W x H) insta

1080x1080 (W x H ) linkedin

1080x 1920 (W x H ) Story size",USA Post For FES UAE,"FES & 21 yrs logo
Study in the USA

Bachelors & Masters Programs 
Scholarships Available
PSW Upto 3 Years

Start your process now

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E

+971 58 506 2157
www.fespak.com",Tayyaba,-,-,Insia,3 April,4 April 2025,Completed ,Approved,-,On hold by Sir Touqeer,,,4,University of South Wales,* Canada
PDF,A4 Size,FES Profile,PDF,Raheel,-,-,Amjad,12 March,,Working On It,,-,No need to post,,,5,University of East Anglia,* Ireland
Video,Reel Size,Karachi Expo,None,Sherry,-,-,Ahmad,4th April,8th April,Completed ,Approved,"Karachi Expo Highlights! A day full of questions, answers & future plans.",Posted,,,6,University of Portsmouth,* Netherlands
Video,Reel Size,Ghibli Art Vid,Turned Our Success Stories into Ghibli Art and Here’s How They Turned Out,Sherry,-,-,Ahmad,4th April,5th April,Completed ,Approved,"Jumping into the Ghibli art trend, but this time with our students😍💚.",Posted,,,7,"Manchester Metropolitan University (MMU), UK",* Germany
Event Cover,"Landscape
1600x900",Steinbeis University Germany,"FES & Steinbeis Uni logo
Unlock Global Career Opportunities with Steinbeis University, Germany!

Join our In-House Session
Date: April 09, 2025 (Wednesday)
Time: 10 am- 6 pm
Discover Globally recognized PG & MBA programs
Scholarships up to 30% (*T&C Apply)
Don't miss out
0344 8454242 | 0343 8454141
www.fespak.com
",Akbar,-,-,Shumaila,4th April,5th April,Completed ,Approved,"Are you looking for a globally recognized PG or MBA program?
Steinbeis University, Germany opens up a world of practical learning, valuable industry connections, and exciting European career opportunities!

Join us for an In-House Session to learn more from our experts!
📅 Date: April 09, 2025 (Wednesday)
⏰ Time: 10 AM - 6 PM
📍 M-101, Mezzanine Floor, Above Faysal Bank, Off Nipa Chowrangi in FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi.",Posted,,,8,LJMU,* Hungary
